Run,Time(min),Optimizer,Epochs,Batch_Size,Rescale,Regularizer(L2),Data,Augumentation,Grayscale,accuracy,loss,precision,recall,F1_Score,val_accuracy,val_loss,val_precision,val_recall,val_F1_Score
2024.11.17-2200,7.309321213,SGD,50,32,100,0.001,Original,No,Yes,0.654945076,1.150984287,0.708999991,0.519413948,0.599577183,0.608510613,1.211403489,0.683544278,0.459574461,0.549618307
2024.11.17-1222,2.771038568,SGD,32,32,100,,Original,No,No,0.586813211,3.185604572,0.671981752,0.432234436,0.526081137,0.591489375,3.188464642,0.741071403,0.353191495,0.478386167
2024.11.18-2125,9.404230829,SGD,50,32,100,,Updated,No,Yes,0.60670191,2.226537228,0.704291046,0.443856567,0.544536612,0.588477373,2.236971378,0.662576675,0.444444448,0.532019703
2024.11.17-1215,2.763423383,adam,32,32,100,,Original,No,No,0.567765594,0.982817769,0.676630437,0.364835173,0.474059979,0.58723402,0.950834274,0.730158746,0.391489357,0.509695291
2024.11.18-2136,9.698445837,SGD,50,32,100,,Updated,No,No,0.638448,2.207097054,0.716723561,0.493827164,0.584754618,0.584362149,2.259889841,0.647798717,0.423868299,0.512437793
2024.11.18-2049,10.00379392,SGD,50,32,100,0.001,Updated,Yes,Yes,0.547913015,1.279315591,0.667919815,0.313345104,0.426570644,0.584362149,1.20353508,0.704225361,0.411522627,0.519480517
2024.11.17-1056,6.005654514,adam,32,32,100,,Original,Yes,No,0.540659368,1.017571926,0.631956935,0.257875472,0.366285138,0.582978725,0.981662333,0.742574275,0.319148928,0.446428566
2024.11.18-2114,9.872158015,SGD,50,32,100,0.001,Updated,No,No,0.725455642,1.013282299,0.770922005,0.639035881,0.698810691,0.576131701,1.221429348,0.635869563,0.481481493,0.548009374
2024.11.17-1018,15.26439944,adam,32,32,150,-,Original,Yes,No,0.537728965,1.031322718,0.663003683,0.265201479,0.378859254,0.574468076,0.97318238,0.800000012,0.306382984,0.44307693
2024.11.18-2102,10.16139732,SGD,50,32,100,,Updated,Yes,Yes,0.534979403,2.309754848,0.662864387,0.307466209,0.420080333,0.572016478,2.213629007,0.713235319,0.399176955,0.511873358
2024.11.17-1230,4.268350649,SGD,50,32,100,,Original,No,No,0.636630058,2.545763493,0.697576404,0.484981686,0.572169407,0.565957427,2.61781168,0.634615362,0.421276599,0.506393857
2024.11.17-1237,2.906627321,SGD,32,32,100,0.001,Original,No,No,0.619047642,1.195060372,0.685088634,0.481318682,0.565404476,0.565957427,1.248862267,0.737288117,0.370212764,0.492917841
2024.11.17-2145,5.041412485,SGD,32,32,100,0.001,Original,No,Yes,0.594871819,1.228024244,0.667028189,0.450549453,0.537822473,0.565957427,1.259150624,0.702290058,0.391489357,0.502732232
2024.11.18-1858,8.92925175,Adam,50,32,100,0.001,Original,No,No,0.921611726,0.464572906,0.928464949,0.912820518,0.920576272,0.548936188,1.88391161,0.560538113,0.53191489,0.545851525
2024.11.17-1226,3.455672316,SGD,32,32,100,,Original,Yes,No,0.517948747,3.271136045,0.654368937,0.246886447,0.358510639,0.548936188,3.212123632,0.773809552,0.276595742,0.407523511
2024.11.17-2152,4.775903829,SGD,32,32,100,,Original,No,Yes,0.579487205,3.18203187,0.662413001,0.418315023,0.512797491,0.536170185,3.205369234,0.672131121,0.34893617,0.459383747
2024.11.17-1124,43.43567107,adam,32,32,200,,Original,Yes,No,0.367765576,1.127052903,0,0,,0.268085092,1.140525937,0,0,
